instance,|R|,|T|,method,config,variables,clauses,timeout,status,objective,time,gap
burma14,7,2,maxsat,DE+BDD,66750.0,203484.0,No,Optimal,3291,52.74,0.00%
burma14,7,2,maxsat,DE+LCG,744.0,7269.0,No,Optimal,3291,0.20,0.00%
burma14,7,2,maxsat,OE+BDD,66750.0,200850.0,No,Optimal,3291,81.54,0.00%
burma14,7,2,maxsat,OE+LCG,743.0,4635.0,No,Optimal,3291,0.08*,0.00%
burma14,7,2,maxsat,TE+BDD,79044.0,241924.0,No,Optimal,3291,46.81,0.00%
burma14,7,2,maxsat,TE+LCG,13038.0,45709.0,No,Optimal,3291,0.97,0.00%
burma14,7,2,mip,MIP,,,No,Optimal,3291,1.45,0.00%
burma14,10,2,maxsat,DE+BDD,71023.0,216667.0,No,Optimal,4495,179.54,0.00%
burma14,10,2,maxsat,DE+LCG,750.0,7698.0,No,Optimal,4495,0.35,0.00%
burma14,10,2,maxsat,OE+BDD,71023.0,213703.0,No,Optimal,4495,197.10,0.00%
burma14,10,2,maxsat,OE+LCG,749.0,4734.0,No,Optimal,4495,0.19*,0.00%
burma14,10,2,maxsat,TE+BDD,83989.0,257033.0,No,Optimal,4495,228.69,0.00%
burma14,10,2,maxsat,TE+LCG,13716.0,48064.0,No,Optimal,4495,1.13,0.00%
burma14,10,2,mip,MIP,,,No,Optimal,4495,55.51,0.00%
burma14,13,3,maxsat,DE+BDD,92829.0,284643.0,No,Optimal,6199,604.74,0.00%
burma14,13,3,maxsat,DE+LCG,1134.0,12210.0,No,Optimal,6199,2.17,0.00%
burma14,13,3,maxsat,OE+BDD,92829.0,279702.0,No,Optimal,6199,950.75,0.00%
burma14,13,3,maxsat,OE+LCG,1133.0,7269.0,No,Optimal,6199,0.99*,0.00%
burma14,13,3,maxsat,TE+BDD,113286.0,348081.0,No,Optimal,6199,1714.00,0.00%
burma14,13,3,maxsat,TE+LCG,21591.0,75648.0,No,Optimal,6199,4.52,0.00%
burma14,13,3,mip,MIP,,,Yes,Feasible,6199,3225.86,0.00%
burma14,16,3,maxsat,DE+BDD,97243.0,298527.0,Yes,Feasible,6879,1751.98,4.11%
burma14,16,3,maxsat,DE+LCG,1143.0,12858.0,No,Optimal,7162,31.31,0.00%
burma14,16,3,maxsat,OE+BDD,97243.0,293091.0,Yes,Feasible,6747,219.88,6.15%
burma14,16,3,maxsat,OE+LCG,1142.0,7422.0,No,Optimal,7162,9.83*,0.00%
burma14,16,3,maxsat,TE+BDD,118708.0,364854.0,Yes,Feasible,6874,163.89,4.19%
burma14,16,3,maxsat,TE+LCG,22608.0,79185.0,No,Optimal,7162,24.11,0.00%
burma14,16,3,mip,MIP,,,Yes,Feasible,7083,9.20,1.12%
burma14,19,4,maxsat,DE+BDD,149151.0,457204.0,Yes,Feasible,8639,2814.56,6.74%
burma14,19,4,maxsat,DE+BDD+SBC,149151.0,457223.0,Yes,Feasible,8720,1476.13,5.75%
burma14,19,4,maxsat,DE+LCG,1536.0,18046.0,Yes,Feasible,9210,2217.90,0.12%
burma14,19,4,maxsat,DE+LCG+SBC,1536.0,18065.0,Yes,Feasible,9219,977.30,0.02%
burma14,19,4,maxsat,OE+BDD,149151.0,449296.0,Yes,Feasible,8597,2948.65,7.26%
burma14,19,4,maxsat,OE+BDD+SBC,149151.0,449315.0,Yes,Feasible,8492,1782.38,8.58%
burma14,19,4,maxsat,OE+LCG,1535.0,10138.0,Yes,Feasible,9213,1385.98,0.09%
burma14,19,4,maxsat,OE+LCG+SBC,1535.0,10157.0,Yes,Feasible,9186,1336.83,0.38%
burma14,19,4,maxsat,TE+BDD,179115.0,549492.0,Yes,Feasible,8784,1944.52,4.97%
burma14,19,4,maxsat,TE+BDD+SBC,179115.0,549511.0,Yes,Feasible,8666,1902.01,6.40%
burma14,19,4,maxsat,TE+LCG,31500.0,110334.0,Yes,Feasible,9202,2102.06,0.21%
burma14,19,4,maxsat,TE+LCG+SBC,31500.0,110353.0,No,Optimal,9221*,2029.50,0.00%
burma14,19,4,mip,MIP,,,Yes,Feasible,9216,3333.98,0.05%
burma14,19,4,mip,MIP+SBC,,,Yes,Feasible,9158,3299.00,0.69%
ulysses22,11,2,maxsat,DE+BDD,96869.0,309285.0,No,Optimal,12494,135.78,0.00%
ulysses22,11,2,maxsat,DE+LCG,1872.0,26993.0,No,Optimal,12494,1.69,0.00%
