instance,|R|,|T|,method,config,variables,clauses,timeout,status,objective,time,up,conflicts,gap
burma14,7,2,maxsat,AN,19741.0,108601.0,No,Optimal,3291,19.96,94339274,1868959,0.00%
burma14,7,2,maxsat,BDD,66750.0,200850.0,No,Optimal,3291,81.98,603032717,7445039,0.00%
burma14,7,2,maxsat,BM,80918.0,183758.0,No,Optimal,3291,20.80,163859533,2407124,0.00%
burma14,7,2,mip,MIP,,,No,Optimal,3291,12.40,,,0.00%
burma14,7,2,maxsat,SN,139333.0,228706.0,No,Optimal,3291,92.40,600501358,6731991,0.00%
burma14,7,2,maxsat,SWC,98793.0,380199.0,No,Optimal,3291,10.66*,90677878,1096624,0.00%
burma14,10,2,maxsat,AN,10419.0,93257.0,No,Optimal,4495,827.24,1521340207,42385084,0.00%
burma14,10,2,maxsat,BDD,71023.0,213703.0,No,Optimal,4495,198.16,1314717239,14548036,0.00%
burma14,10,2,maxsat,BM,88166.0,189141.0,No,Optimal,4495,62.39,419686726,5540554,0.00%
burma14,10,2,mip,MIP,,,No,Optimal,4495,134.58,,,0.00%
burma14,10,2,maxsat,SN,171670.0,260625.0,No,Optimal,4495,531.99,2744555258,19296164,0.00%
burma14,10,2,maxsat,SWC,110327.0,436711.0,No,Optimal,4495,16.29*,146136102,1589861,0.00%
burma14,13,3,maxsat,AN,14534.0,129013.0,Yes,Feasible,5864,13.16,4775379533,132651727,5.71%
burma14,13,3,maxsat,BDD,92829.0,279702.0,No,Optimal,6199,936.11,4697966691,41032213,0.00%
burma14,13,3,maxsat,BM,114831.0,250885.0,No,Optimal,6199,888.23,3355619833,34900727,0.00%
burma14,13,3,mip,MIP,,,Yes,Feasible,6199,3600.00,,,0.00%
burma14,13,3,maxsat,SN,226325.0,344418.0,Yes,Feasible,5677,92.59,9237016616,66170882,9.19%
burma14,13,3,maxsat,SWC,142512.0,563943.0,No,Optimal,6199,71.20*,643727755,5387111,0.00%
burma14,16,3,maxsat,AN,14757.0,131498.0,Yes,Feasible,6784,2999.62,3523814399,86888437,5.57%
