stage,"(|R|,|T|,|k|)",method,config,tLimit,consumed,timeout,status,objective,time,restarts,conflicts,gap,gap_N
1,"(9,2,2)",maxsat,Asm-Cpx,115.14,0.2,No,Optimal,41577,0.15,1669,6970,0.00%,694.69%
1,"(9,2,2)",maxsat,Asm-Uni,600.0,0.21,No,Optimal,41577,0.14,1669,6970,0.00%,694.69%
1,"(9,2,2)",mip,MIP-Cpx,115.14,42.9,No,Optimal,41577,30.82,,,0.00%,694.69%
1,"(9,2,2)",mip,MIP-Uni,600.0,42.92,No,Optimal,41577,30.86,,,0.00%,694.69%
1,"(9,2,2)",maxsat,PhG-Cpx,115.14,0.2,No,Optimal,41577,0.15,1669,6970,0.00%,694.69%
1,"(9,2,2)",maxsat,PhG-Uni,600.0,0.21,No,Optimal,41577,0.15,1669,6970,0.00%,694.69%
2,"(18,3,2)",maxsat,Asm-Cpx,200.4,200.05,Yes,Optimal,71639,0.02,175964090,1646,41.07%,361.21%
2,"(18,3,2)",maxsat,Asm-Uni,719.96,719.43,Yes,Optimal,71639,0.03,629266470,1646,41.07%,361.21%
2,"(18,3,2)",mip,MIP-Cpx,198.02,198.0,Yes,Feasible,93611,12.77,,,7.96%,252.96%
2,"(18,3,2)",mip,MIP-Uni,711.42,711.01,Yes,Feasible,93611,12.8,,,7.96%,252.96%
2,"(18,3,2)",maxsat,PhG-Cpx,200.4,0.98,No,Optimal,101063,0.83,3741,26739,0.00%,226.93%
2,"(18,3,2)",maxsat,PhG-Uni,719.96,0.98,No,Optimal,101063,0.82,3741,26739,0.00%,226.93%
3,"(27,5,3)",maxsat,Asm-Cpx,501.04,501.02,Yes,Feasible,135480,0.11,297252528,11883,10.31%,143.88%
3,"(27,5,3)",maxsat,Asm-Uni,720.09,720.25,Yes,Optimal,135480,0.13,425243340,11883,10.31%,143.88%
3,"(27,5,3)",mip,MIP-Cpx,495.05,495.01,Yes,Feasible,135743,452.53,,,10.10%,143.41%
3,"(27,5,3)",mip,MIP-Uni,711.52,711.01,No,Optimal,137113,678.87,,,9.00%,140.97%
3,"(27,5,3)",maxsat,PhG-Cpx,530.38,531.03,Yes,Feasible,149450,210.89,23326,1963460,0.00%,121.08%
3,"(27,5,3)",maxsat,PhG-Uni,899.7,901.7,Yes,Feasible,149450,217.87,32441,3120257,0.00%,121.08%
4,"(36,6,3)",maxsat,Asm-Cpx,645.25,645.82,Yes,Optimal,181889,0.11,292828466,7337,12.40%,81.65%
4,"(36,6,3)",maxsat,Asm-Uni,720.04,720.55,Yes,Optimal,181889,0.11,326907621,7337,12.40%,81.65%
4,"(36,6,3)",mip,MIP-Cpx,637.54,637.01,No,Optimal,168729,607.86,,,21.17%,95.82%
4,"(36,6,3)",mip,MIP-Uni,711.69,711.01,No,Optimal,178310,691.11,,,14.66%,85.30%
4,"(36,6,3)",maxsat,PhG-Cpx,682.88,683.7,Yes,Feasible,202850,291.72,25856,2459877,0.79%,62.88%
4,"(36,6,3)",maxsat,PhG-Uni,899.04,899.85,Yes,Feasible,204444,850.47,32506,3158262,0.00%,61.61%
5,"(45,8,3)",maxsat,Asm-Cpx,918.76,919.03,Yes,Optimal,237744,0.2,286360997,16831,5.56%,38.98%
5,"(45,8,3)",maxsat,Asm-Uni,719.78,719.57,Yes,Optimal,237744,0.21,227809484,16831,5.56%,38.98%
5,"(45,8,3)",mip,MIP-Cpx,908.22,908.01,Yes,Feasible,192475,893.78,,,30.39%,71.66%
5,"(45,8,3)",mip,MIP-Uni,712.03,712.01,Yes,Feasible,221092,698.14,,,13.51%,49.44%
5,"(45,8,3)",maxsat,PhG-Cpx,972.25,973.68,Yes,Feasible,250964,2.07,53924,17112604,0.00%,31.66%
5,"(45,8,3)",maxsat,PhG-Uni,898.63,900.18,Yes,Feasible,250748,2.74,42326,9810510,0.09%,31.77%
6,"(54,9,4)",maxsat,Asm-Cpx,1333.89,1334.24,Yes,Optimal,294940,1.08,347505615,72753,12.03%,12.03%
6,"(54,9,4)",maxsat,Asm-Uni,719.99,720.33,Yes,Feasible,294940,1.08,187087609,72753,12.03%,12.03%
6,"(54,9,4)",mip,MIP-Cpx,1319.06,1319.02,Yes,Feasible,284721,1313.76,,,16.05%,16.05%
6,"(54,9,4)",mip,MIP-Uni,712.04,712.02,Yes,Feasible,285880,701.11,,,15.58%,15.58%
6,"(54,9,4)",mip,Mono-MIP,3600.0,,No,Optimal,312872,3508.45,,,5.60%,5.60%
6,"(54,9,4)",maxsat,Mono-SAT,3600.0,3580.62,Yes,Feasible,330407,1299.74,95038,13172506,0.00%,0.00%
6,"(54,9,4)",maxsat,PhG-Cpx,1410.4,1412.99,Yes,Feasible,328249,1028.99,87404,12643151,0.66%,0.66%
6,"(54,9,4)",maxsat,PhG-Uni,897.08,901.91,Yes,Feasible,306997,118.7,54544,9393180,7.63%,7.63%
